sn,alpha,beta,gamma,threshold,precision,recall,fmeasure
43,1.0,0.7000000000000001,0.10000000000000014,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
44,1.0,0.7000000000000001,1.3877787807814457E-16,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
45,1.0,0.6000000000000001,1.0,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
46,1.0,0.6000000000000001,0.9,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
47,1.0,0.6000000000000001,0.8,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
48,1.0,0.6000000000000001,0.7000000000000001,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
49,1.0,0.6000000000000001,0.6000000000000001,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
50,1.0,0.6000000000000001,0.5000000000000001,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
51,1.0,0.6000000000000001,0.40000000000000013,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
52,1.0,0.6000000000000001,0.30000000000000016,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
53,1.0,0.6000000000000001,0.20000000000000015,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
54,1.0,0.6000000000000001,0.10000000000000014,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
55,1.0,0.6000000000000001,1.3877787807814457E-16,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
56,1.0,0.5000000000000001,1.0,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
57,1.0,0.5000000000000001,0.9,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
58,1.0,0.5000000000000001,0.8,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
59,1.0,0.5000000000000001,0.7000000000000001,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
60,1.0,0.5000000000000001,0.6000000000000001,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
61,1.0,0.5000000000000001,0.5000000000000001,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
62,1.0,0.5000000000000001,0.40000000000000013,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
63,1.0,0.5000000000000001,0.30000000000000016,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
64,1.0,0.5000000000000001,0.20000000000000015,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
65,1.0,0.5000000000000001,0.10000000000000014,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
66,1.0,0.5000000000000001,1.3877787807814457E-16,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
67,1.0,0.40000000000000013,1.0,0.84,0.8823529411764706,0.8823529411764706,0.8823529411764706
68,1.0,0.40000000000000013,0.9,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
69,1.0,0.40000000000000013,0.8,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
70,1.0,0.40000000000000013,0.7000000000000001,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
71,1.0,0.40000000000000013,0.6000000000000001,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
72,1.0,0.40000000000000013,0.5000000000000001,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
73,1.0,0.40000000000000013,0.40000000000000013,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
74,1.0,0.40000000000000013,0.30000000000000016,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
75,1.0,0.40000000000000013,0.20000000000000015,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
76,1.0,0.40000000000000013,0.10000000000000014,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
77,1.0,0.40000000000000013,1.3877787807814457E-16,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
78,1.0,0.30000000000000016,1.0,0.8099999999999999,0.8823529411764706,0.8823529411764706,0.8823529411764706
79,1.0,0.30000000000000016,0.9,0.82,0.8823529411764706,0.8823529411764706,0.8823529411764706
80,1.0,0.30000000000000016,0.8,0.83,0.8823529411764706,0.8823529411764706,0.8823529411764706
81,1.0,0.30000000000000016,0.7000000000000001,0.84,0.8823529411764706,0.8823529411764706,0.8823529411764706
82,1.0,0.30000000000000016,0.6000000000000001,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
83,1.0,0.30000000000000016,0.5000000000000001,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
84,1.0,0.30000000000000016,0.40000000000000013,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
85,1.0,0.30000000000000016,0.30000000000000016,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
86,1.0,0.30000000000000016,0.20000000000000015,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
87,1.0,0.30000000000000016,0.10000000000000014,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
88,1.0,0.30000000000000016,1.3877787807814457E-16,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
89,1.0,0.20000000000000015,1.0,0.7699999999999999,0.75,0.8823529411764706,0.8108108108108107
90,1.0,0.20000000000000015,0.9,0.7999999999999999,0.8666666666666667,0.7647058823529411,0.8125
91,1.0,0.20000000000000015,0.8,0.7899999999999999,0.8823529411764706,0.8823529411764706,0.8823529411764706
92,1.0,0.20000000000000015,0.7000000000000001,0.8099999999999999,0.8823529411764706,0.8823529411764706,0.8823529411764706
93,1.0,0.20000000000000015,0.6000000000000001,0.82,0.8823529411764706,0.8823529411764706,0.8823529411764706
94,1.0,0.20000000000000015,0.5000000000000001,0.84,0.8823529411764706,0.8823529411764706,0.8823529411764706
95,1.0,0.20000000000000015,0.40000000000000013,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
96,1.0,0.20000000000000015,0.30000000000000016,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
97,1.0,0.20000000000000015,0.20000000000000015,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
98,1.0,0.20000000000000015,0.10000000000000014,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
99,1.0,0.20000000000000015,1.3877787807814457E-16,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
100,1.0,0.10000000000000014,1.0,0.85,0.8461538461538461,0.6470588235294118,0.7333333333333334
101,1.0,0.10000000000000014,0.9,0.7899999999999999,0.8571428571428571,0.7058823529411765,0.7741935483870968
102,1.0,0.10000000000000014,0.8,0.7799999999999999,0.8125,0.7647058823529411,0.787878787878788
103,1.0,0.10000000000000014,0.7000000000000001,0.7699999999999999,0.8333333333333334,0.8823529411764706,0.8571428571428571
104,1.0,0.10000000000000014,0.6000000000000001,0.7899999999999999,0.8823529411764706,0.8823529411764706,0.8823529411764706
105,1.0,0.10000000000000014,0.5000000000000001,0.8099999999999999,0.8823529411764706,0.8823529411764706,0.8823529411764706
106,1.0,0.10000000000000014,0.40000000000000013,0.83,0.8823529411764706,0.8823529411764706,0.8823529411764706
107,1.0,0.10000000000000014,0.30000000000000016,0.84,0.8823529411764706,0.8823529411764706,0.8823529411764706
108,1.0,0.10000000000000014,0.20000000000000015,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
109,1.0,0.10000000000000014,0.10000000000000014,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
110,1.0,0.10000000000000014,1.3877787807814457E-16,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
111,1.0,1.3877787807814457E-16,1.0,0.85,0.8461538461538461,0.6470588235294118,0.7333333333333334
112,1.0,1.3877787807814457E-16,0.9,0.85,0.8461538461538461,0.6470588235294118,0.7333333333333334
113,1.0,1.3877787807814457E-16,0.8,0.85,0.8461538461538461,0.6470588235294118,0.7333333333333334
114,1.0,1.3877787807814457E-16,0.7000000000000001,0.85,0.8461538461538461,0.6470588235294118,0.7333333333333334
115,1.0,1.3877787807814457E-16,0.6000000000000001,0.7699999999999999,0.8125,0.7647058823529411,0.787878787878788
116,1.0,1.3877787807814457E-16,0.5000000000000001,0.7699999999999999,0.8333333333333334,0.8823529411764706,0.8571428571428571
117,1.0,1.3877787807814457E-16,0.40000000000000013,0.7899999999999999,0.8823529411764706,0.8823529411764706,0.8823529411764706
118,1.0,1.3877787807814457E-16,0.30000000000000016,0.7999999999999999,0.8823529411764706,0.8823529411764706,0.8823529411764706
119,1.0,1.3877787807814457E-16,0.20000000000000015,0.82,0.8823529411764706,0.8823529411764706,0.8823529411764706
120,1.0,1.3877787807814457E-16,0.10000000000000014,0.83,0.8823529411764706,0.8823529411764706,0.8823529411764706
121,1.0,1.3877787807814457E-16,1.3877787807814457E-16,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
122,0.9,1.0,1.0,0.85,0.9375,0.8823529411764706,0.9090909090909091
123,0.9,1.0,0.9,0.85,0.9375,0.8823529411764706,0.9090909090909091
124,0.9,1.0,0.8,0.85,0.9375,0.8823529411764706,0.9090909090909091
125,0.9,1.0,0.7000000000000001,0.85,0.9375,0.8823529411764706,0.9090909090909091
126,0.9,1.0,0.6000000000000001,0.85,0.9375,0.8823529411764706,0.9090909090909091
127,0.9,1.0,0.5000000000000001,0.85,0.9375,0.8823529411764706,0.9090909090909091
128,0.9,1.0,0.40000000000000013,0.85,0.9375,0.8823529411764706,0.9090909090909091
129,0.9,1.0,0.30000000000000016,0.85,0.9375,0.8823529411764706,0.9090909090909091
130,0.9,1.0,0.20000000000000015,0.85,0.9375,0.8823529411764706,0.9090909090909091
131,0.9,1.0,0.10000000000000014,0.85,0.9375,0.8823529411764706,0.9090909090909091
132,0.9,1.0,1.3877787807814457E-16,0.85,0.9375,0.8823529411764706,0.9090909090909091
133,0.9,0.9,1.0,0.85,0.9375,0.8823529411764706,0.9090909090909091
134,0.9,0.9,0.9,0.85,0.9375,0.8823529411764706,0.9090909090909091
135,0.9,0.9,0.8,0.85,0.9375,0.8823529411764706,0.9090909090909091
136,0.9,0.9,0.7000000000000001,0.85,0.9375,0.8823529411764706,0.9090909090909091
137,0.9,0.9,0.6000000000000001,0.85,0.9375,0.8823529411764706,0.9090909090909091
138,0.9,0.9,0.5000000000000001,0.85,0.9375,0.8823529411764706,0.9090909090909091
139,0.9,0.9,0.40000000000000013,0.85,0.9375,0.8823529411764706,0.9090909090909091
140,0.9,0.9,0.30000000000000016,0.85,0.9375,0.8823529411764706,0.9090909090909091
141,0.9,0.9,0.20000000000000015,0.85,0.9375,0.8823529411764706,0.9090909090909091
142,0.9,0.9,0.10000000000000014,0.85,0.9375,0.8823529411764706,0.9090909090909091
143,0.9,0.9,1.3877787807814457E-16,0.85,0.9375,0.8823529411764706,0.9090909090909091
144,0.9,0.8,1.0,0.85,0.9375,0.8823529411764706,0.9090909090909091
145,0.9,0.8,0.9,0.85,0.9375,0.8823529411764706,0.9090909090909091
146,0.9,0.8,0.8,0.85,0.9375,0.8823529411764706,0.9090909090909091
147,0.9,0.8,0.7000000000000001,0.85,0.9375,0.8823529411764706,0.9090909090909091
148,0.9,0.8,0.6000000000000001,0.85,0.9375,0.8823529411764706,0.9090909090909091
149,0.9,0.8,0.5000000000000001,0.85,0.9375,0.8823529411764706,0.9090909090909091
150,0.9,0.8,0.40000000000000013,0.85,0.9375,0.8823529411764706,0.9090909090909091
151,0.9,0.8,0.30000000000000016,0.85,0.9375,0.8823529411764706,0.9090909090909091
152,0.9,0.8,0.20000000000000015,0.85,0.9375,0.8823529411764706,0.9090909090909091
153,0.9,0.8,0.10000000000000014,0.85,0.9375,0.8823529411764706,0.9090909090909091
154,0.9,0.8,1.3877787807814457E-16,0.85,0.9375,0.8823529411764706,0.9090909090909091
155,0.9,0.7000000000000001,1.0,0.85,0.9375,0.8823529411764706,0.9090909090909091
156,0.9,0.7000000000000001,0.9,0.85,0.9375,0.8823529411764706,0.9090909090909091
157,0.9,0.7000000000000001,0.8,0.85,0.9375,0.8823529411764706,0.9090909090909091
158,0.9,0.7000000000000001,0.7000000000000001,0.85,0.9375,0.8823529411764706,0.9090909090909091
159,0.9,0.7000000000000001,0.6000000000000001,0.85,0.9375,0.8823529411764706,0.9090909090909091
160,0.9,0.7000000000000001,0.5000000000000001,0.85,0.9375,0.8823529411764706,0.9090909090909091
161,0.9,0.7000000000000001,0.40000000000000013,0.85,0.9375,0.8823529411764706,0.9090909090909091
162,0.9,0.7000000000000001,0.30000000000000016,0.85,0.9375,0.8823529411764706,0.9090909090909091
163,0.9,0.7000000000000001,0.20000000000000015,0.85,0.9375,0.8823529411764706,0.9090909090909091
164,0.9,0.7000000000000001,0.10000000000000014,0.85,0.9375,0.8823529411764706,0.9090909090909091
165,0.9,0.7000000000000001,1.3877787807814457E-16,0.85,0.9375,0.8823529411764706,0.9090909090909091
166,0.9,0.6000000000000001,1.0,0.85,0.9375,0.8823529411764706,0.9090909090909091
167,0.9,0.6000000000000001,0.9,0.85,0.9375,0.8823529411764706,0.9090909090909091
168,0.9,0.6000000000000001,0.8,0.85,0.9375,0.8823529411764706,0.9090909090909091
169,0.9,0.6000000000000001,0.7000000000000001,0.85,0.9375,0.8823529411764706,0.9090909090909091
170,0.9,0.6000000000000001,0.6000000000000001,0.85,0.9375,0.8823529411764706,0.9090909090909091
171,0.9,0.6000000000000001,0.5000000000000001,0.85,0.9375,0.8823529411764706,0.9090909090909091
172,0.9,0.6000000000000001,0.40000000000000013,0.85,0.9375,0.8823529411764706,0.9090909090909091
173,0.9,0.6000000000000001,0.30000000000000016,0.85,0.9375,0.8823529411764706,0.9090909090909091
174,0.9,0.6000000000000001,0.20000000000000015,0.85,0.9375,0.8823529411764706,0.9090909090909091
175,0.9,0.6000000000000001,0.10000000000000014,0.85,0.9375,0.8823529411764706,0.9090909090909091
176,0.9,0.6000000000000001,1.3877787807814457E-16,0.85,0.9375,0.8823529411764706,0.9090909090909091
177,0.9,0.5000000000000001,1.0,0.85,0.9375,0.8823529411764706,0.9090909090909091
178,0.9,0.5000000000000001,0.9,0.85,0.9375,0.8823529411764706,0.9090909090909091
179,0.9,0.5000000000000001,0.8,0.85,0.9375,0.8823529411764706,0.9090909090909091
180,0.9,0.5000000000000001,0.7000000000000001,0.85,0.9375,0.8823529411764706,0.9090909090909091
181,0.9,0.5000000000000001,0.6000000000000001,0.85,0.9375,0.8823529411764706,0.9090909090909091
182,0.9,0.5000000000000001,0.5000000000000001,0.85,0.9375,0.8823529411764706,0.9090909090909091
183,0.9,0.5000000000000001,0.40000000000000013,0.85,0.9375,0.8823529411764706,0.9090909090909091
184,0.9,0.5000000000000001,0.30000000000000016,0.85,0.9375,0.8823529411764706,0.9090909090909091
185,0.9,0.5000000000000001,0.20000000000000015,0.85,0.9375,0.8823529411764706,0.9090909090909091
186,0.9,0.5000000000000001,0.10000000000000014,0.85,0.9375,0.8823529411764706,0.9090909090909091
187,0.9,0.5000000000000001,1.3877787807814457E-16,0.85,0.9375,0.8823529411764706,0.9090909090909091
188,0.9,0.40000000000000013,1.0,0.83,0.8823529411764706,0.8823529411764706,0.8823529411764706
189,0.9,0.40000000000000013,0.9,0.84,0.8823529411764706,0.8823529411764706,0.8823529411764706
190,0.9,0.40000000000000013,0.8,0.85,0.9375,0.8823529411764706,0.9090909090909091
191,0.9,0.40000000000000013,0.7000000000000001,0.85,0.9375,0.8823529411764706,0.9090909090909091
192,0.9,0.40000000000000013,0.6000000000000001,0.85,0.9375,0.8823529411764706,0.9090909090909091
193,0.9,0.40000000000000013,0.5000000000000001,0.85,0.9375,0.8823529411764706,0.9090909090909091
194,0.9,0.40000000000000013,0.40000000000000013,0.85,0.9375,0.8823529411764706,0.9090909090909091
195,0.9,0.40000000000000013,0.30000000000000016,0.85,0.9375,0.8823529411764706,0.9090909090909091
196,0.9,0.40000000000000013,0.20000000000000015,0.85,0.9375,0.8823529411764706,0.9090909090909091
197,0.9,0.40000000000000013,0.10000000000000014,0.85,0.9375,0.8823529411764706,0.9090909090909091
198,0.9,0.40000000000000013,1.3877787807814457E-16,0.85,0.9375,0.8823529411764706,0.9090909090909091
199,0.9,0.30000000000000016,1.0,0.7999999999999999,0.8823529411764706,0.8823529411764706,0.8823529411764706
200,0.9,0.30000000000000016,0.9,0.8099999999999999,0.8823529411764706,0.8823529411764706,0.8823529411764706
201,0.9,0.30000000000000016,0.8,0.82,0.8823529411764706,0.8823529411764706,0.8823529411764706
202,0.9,0.30000000000000016,0.7000000000000001,0.83,0.8823529411764706,0.8823529411764706,0.8823529411764706
203,0.9,0.30000000000000016,0.6000000000000001,0.84,0.8823529411764706,0.8823529411764706,0.8823529411764706
204,0.9,0.30000000000000016,0.5000000000000001,0.85,0.9375,0.8823529411764706,0.9090909090909091
205,0.9,0.30000000000000016,0.40000000000000013,0.85,0.9375,0.8823529411764706,0.9090909090909091
206,0.9,0.30000000000000016,0.30000000000000016,0.85,0.9375,0.8823529411764706,0.9090909090909091
207,0.9,0.30000000000000016,0.20000000000000015,0.85,0.9375,0.8823529411764706,0.9090909090909091
208,0.9,0.30000000000000016,0.10000000000000014,0.85,0.9375,0.8823529411764706,0.9090909090909091
209,0.9,0.30000000000000016,1.3877787807814457E-16,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
210,0.9,0.20000000000000015,1.0,0.7599999999999999,0.75,0.8823529411764706,0.8108108108108107
211,0.9,0.20000000000000015,0.9,0.7899999999999999,0.8666666666666667,0.7647058823529411,0.8125
212,0.9,0.20000000000000015,0.8,0.7799999999999999,0.8823529411764706,0.8823529411764706,0.8823529411764706
213,0.9,0.20000000000000015,0.7000000000000001,0.7999999999999999,0.8823529411764706,0.8823529411764706,0.8823529411764706
214,0.9,0.20000000000000015,0.6000000000000001,0.8099999999999999,0.8823529411764706,0.8823529411764706,0.8823529411764706
215,0.9,0.20000000000000015,0.5000000000000001,0.83,0.8823529411764706,0.8823529411764706,0.8823529411764706
216,0.9,0.20000000000000015,0.40000000000000013,0.85,0.9375,0.8823529411764706,0.9090909090909091
217,0.9,0.20000000000000015,0.30000000000000016,0.85,0.9375,0.8823529411764706,0.9090909090909091
218,0.9,0.20000000000000015,0.20000000000000015,0.85,0.9375,0.8823529411764706,0.9090909090909091
219,0.9,0.20000000000000015,0.10000000000000014,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
220,0.9,0.20000000000000015,1.3877787807814457E-16,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
221,0.9,0.10000000000000014,1.0,0.85,0.9166666666666666,0.6470588235294118,0.7586206896551724
222,0.9,0.10000000000000014,0.9,0.85,0.9166666666666666,0.6470588235294118,0.7586206896551724
223,0.9,0.10000000000000014,0.8,0.7899999999999999,0.8571428571428571,0.7058823529411765,0.7741935483870968
224,0.9,0.10000000000000014,0.7000000000000001,0.7799999999999999,0.8666666666666667,0.7647058823529411,0.8125
225,0.9,0.10000000000000014,0.6000000000000001,0.7799999999999999,0.8823529411764706,0.8823529411764706,0.8823529411764706
226,0.9,0.10000000000000014,0.5000000000000001,0.7999999999999999,0.8823529411764706,0.8823529411764706,0.8823529411764706
227,0.9,0.10000000000000014,0.40000000000000013,0.82,0.8823529411764706,0.8823529411764706,0.8823529411764706
228,0.9,0.10000000000000014,0.30000000000000016,0.83,0.8823529411764706,0.8823529411764706,0.8823529411764706
229,0.9,0.10000000000000014,0.20000000000000015,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
230,0.9,0.10000000000000014,0.10000000000000014,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
231,0.9,0.10000000000000014,1.3877787807814457E-16,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
232,0.9,1.3877787807814457E-16,1.0,0.85,0.9166666666666666,0.6470588235294118,0.7586206896551724
233,0.9,1.3877787807814457E-16,0.9,0.85,0.9166666666666666,0.6470588235294118,0.7586206896551724
234,0.9,1.3877787807814457E-16,0.8,0.85,0.9166666666666666,0.6470588235294118,0.7586206896551724
235,0.9,1.3877787807814457E-16,0.7000000000000001,0.85,0.9166666666666666,0.6470588235294118,0.7586206896551724
236,0.9,1.3877787807814457E-16,0.6000000000000001,0.7699999999999999,0.8125,0.7647058823529411,0.787878787878788
237,0.9,1.3877787807814457E-16,0.5000000000000001,0.7599999999999999,0.7894736842105263,0.8823529411764706,0.8333333333333333
238,0.9,1.3877787807814457E-16,0.40000000000000013,0.7799999999999999,0.8823529411764706,0.8823529411764706,0.8823529411764706
239,0.9,1.3877787807814457E-16,0.30000000000000016,0.7999999999999999,0.8823529411764706,0.8823529411764706,0.8823529411764706
240,0.9,1.3877787807814457E-16,0.20000000000000015,0.82,0.8823529411764706,0.8823529411764706,0.8823529411764706
241,0.9,1.3877787807814457E-16,0.10000000000000014,0.83,0.8823529411764706,0.8823529411764706,0.8823529411764706
242,0.9,1.3877787807814457E-16,1.3877787807814457E-16,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
243,0.8,1.0,1.0,0.83,0.8823529411764706,0.8823529411764706,0.8823529411764706
244,0.8,1.0,0.9,0.83,0.8823529411764706,0.8823529411764706,0.8823529411764706
245,0.8,1.0,0.8,0.83,0.8823529411764706,0.8823529411764706,0.8823529411764706
246,0.8,1.0,0.7000000000000001,0.83,0.8823529411764706,0.8823529411764706,0.8823529411764706
247,0.8,1.0,0.6000000000000001,0.83,0.8823529411764706,0.8823529411764706,0.8823529411764706
248,0.8,1.0,0.5000000000000001,0.83,0.8823529411764706,0.8823529411764706,0.8823529411764706
249,0.8,1.0,0.40000000000000013,0.83,0.8823529411764706,0.8823529411764706,0.8823529411764706
250,0.8,1.0,0.30000000000000016,0.83,0.8823529411764706,0.8823529411764706,0.8823529411764706
251,0.8,1.0,0.20000000000000015,0.83,0.8823529411764706,0.8823529411764706,0.8823529411764706
252,0.8,1.0,0.10000000000000014,0.83,0.8823529411764706,0.8823529411764706,0.8823529411764706
253,0.8,1.0,1.3877787807814457E-16,0.83,0.8823529411764706,0.8823529411764706,0.8823529411764706
254,0.8,0.9,1.0,0.83,0.9375,0.8823529411764706,0.9090909090909091
255,0.8,0.9,0.9,0.83,0.9375,0.8823529411764706,0.9090909090909091
256,0.8,0.9,0.8,0.83,0.9375,0.8823529411764706,0.9090909090909091
257,0.8,0.9,0.7000000000000001,0.83,0.9375,0.8823529411764706,0.9090909090909091
258,0.8,0.9,0.6000000000000001,0.83,0.9375,0.8823529411764706,0.9090909090909091
259,0.8,0.9,0.5000000000000001,0.83,0.9375,0.8823529411764706,0.9090909090909091
260,0.8,0.9,0.40000000000000013,0.83,0.9375,0.8823529411764706,0.9090909090909091
261,0.8,0.9,0.30000000000000016,0.83,0.9375,0.8823529411764706,0.9090909090909091
262,0.8,0.9,0.20000000000000015,0.83,0.9375,0.8823529411764706,0.9090909090909091
263,0.8,0.9,0.10000000000000014,0.83,0.9375,0.8823529411764706,0.9090909090909091
264,0.8,0.9,1.3877787807814457E-16,0.83,0.9375,0.8823529411764706,0.9090909090909091
265,0.8,0.8,1.0,0.83,0.9375,0.8823529411764706,0.9090909090909091
266,0.8,0.8,0.9,0.83,0.9375,0.8823529411764706,0.9090909090909091
267,0.8,0.8,0.8,0.83,0.9375,0.8823529411764706,0.9090909090909091
268,0.8,0.8,0.7000000000000001,0.83,0.9375,0.8823529411764706,0.9090909090909091
269,0.8,0.8,0.6000000000000001,0.83,0.9375,0.8823529411764706,0.9090909090909091
270,0.8,0.8,0.5000000000000001,0.83,0.9375,0.8823529411764706,0.9090909090909091
271,0.8,0.8,0.40000000000000013,0.83,0.9375,0.8823529411764706,0.9090909090909091
